id_strati_homogene,id_anneau,gamma_h[kN/m3],E_M[MPa],alpha[],c'[kPa],phi'[°],K0[]
984,984,17.886,21.495,0.454,9.218,24.902,0.499
985,985,17.888,21.495,0.454,9.21,24.899,0.499
986,986,17.889,21.493,0.454,9.201,24.897,0.499
987,987,17.89,21.491,0.454,9.191,24.896,0.499
988,988,17.891,21.486,0.454,9.18,24.894,0.499
989,989,17.893,21.48,0.454,9.167,24.892,0.499
990,990,17.894,21.472,0.454,9.154,24.891,0.499
991,991,17.894,21.462,0.453,9.139,24.889,0.498
992,992,17.895,21.45,0.453,9.123,24.888,0.498
993,993,17.896,21.437,0.453,9.106,24.887,0.498
994,994,17.896,21.422,0.453,9.088,24.885,0.498
995,995,17.896,21.406,0.453,9.068,24.884,0.498
996,996,17.897,21.387,0.453,9.048,24.884,0.498
997,997,17.897,21.367,0.453,9.026,24.883,0.498
998,998,17.897,21.344,0.452,9.003,24.882,0.498
999,999,17.897,21.32,0.452,8.979,24.882,0.498
1000,1000,17.896,21.295,0.452,8.953,24.881,0.498
1001,1001,17.896,21.267,0.452,8.926,24.881,0.497
1002,1002,17.895,21.237,0.452,8.898,24.881,0.497
1003,1003,17.895,21.206,0.451,8.869,24.881,0.497
1004,1004,17.894,21.172,0.451,8.839,24.881,0.497
1005,1005,17.893,21.137,0.451,8.807,24.881,0.497
1006,1006,17.892,21.099,0.451,8.774,24.882,0.497
1007,1007,17.891,21.06,0.45,8.74,24.882,0.497
1008,1008,17.89,21.019,0.45,8.704,24.883,0.497
1009,1009,17.888,20.975,0.45,8.667,24.884,0.497
1010,1010,17.887,20.93,0.45,8.629,24.884,0.496
1011,1011,17.885,20.883,0.449,8.59,24.886,0.496
1012,1012,17.883,20.834,0.449,8.549,24.887,0.496
1013,1013,17.881,20.782,0.449,8.507,24.888,0.496
1014,1014,17.879,20.729,0.449,8.464,24.889,0.496
1015,1015,17.877,20.674,0.448,8.419,24.891,0.496
1016,1016,17.875,20.616,0.448,8.373,24.893,0.496
1017,1017,17.872,20.557,0.448,8.326,24.895,0.496
1018,1018,17.87,20.495,0.447,8.278,24.897,0.496
1019,1019,17.867,20.432,0.447,8.228,24.899,0.495
1020,1020,17.864,20.366,0.447,8.177,24.901,0.495
1021,1021,17.861,20.298,0.446,8.125,24.904,0.495
1022,1022,17.858,20.228,0.446,8.071,24.906,0.495
1023,1023,17.855,20.156,0.446,8.016,24.909,0.495
1024,1024,17.852,20.082,0.445,7.96,24.912,0.495
1025,1025,17.848,20.006,0.445,7.902,24.915,0.495
1026,1026,17.845,19.928,0.444,7.843,24.918,0.495
1027,1027,17.841,19.847,0.444,7.783,24.921,0.494
1028,1028,17.837,19.765,0.444,7.721,24.925,0.494
1029,1029,17.834,19.68,0.443,7.659,24.928,0.494
1030,1030,17.83,19.593,0.443,7.594,24.932,0.494
1031,1031,17.825,19.504,0.442,7.529,24.936,0.494
1032,1032,17.821,19.413,0.442,7.462,24.94,0.494
1033,1033,17.817,19.319,0.442,7.394,24.944,0.494
1034,1034,17.812,19.224,0.441,7.324,24.948,0.493
1035,1035,17.808,19.126,0.441,7.253,24.952,0.493
1036,1036,17.803,19.027,0.44,7.181,24.957,0.493
1037,1037,17.798,18.925,0.44,7.108,24.962,0.493
1038,1038,17.793,18.821,0.439,7.033,24.966,0.493
1039,1039,17.788,18.714,0.439,6.957,24.971,0.493
1040,1040,17.783,18.606,0.438,6.88,24.976,0.492
1041,1041,17.778,18.495,0.438,6.801,24.982,0.492
1042,1042,17.773,18.383,0.437,6.721,24.987,0.492
1043,1043,17.767,18.268,0.437,6.64,24.992,0.492
1044,1044,17.762,18.151,0.436,6.557,24.998,0.492
1045,1045,17.756,18.032,0.436,6.473,25.004,0.492
1046,1046,17.75,17.911,0.435,6.388,25.01,0.491
1047,1047,17.744,17.788,0.435,6.302,25.016,0.491
1048,1048,17.739,17.662,0.434,6.214,25.022,0.491
1049,1049,17.733,17.535,0.433,6.125,25.028,0.491
1050,1050,17.726,17.405,0.433,6.035,25.034,0.491
1051,1051,17.72,17.274,0.432,5.943,25.041,0.491
1052,1052,17.714,17.14,0.432,5.85,25.047,0.49
1053,1053,17.708,17.004,0.431,5.756,25.054,0.49
1054,1054,17.701,16.866,0.431,5.661,25.061,0.49
1055,1055,17.695,16.726,0.43,5.565,25.068,0.49
1056,1056,17.688,16.585,0.429,5.467,25.075,0.49
1057,1057,17.681,16.441,0.429,5.368,25.082,0.489
1058,1058,17.675,16.295,0.428,5.268,25.089,0.489
1059,1059,17.668,16.147,0.427,5.167,25.096,0.489
1060,1060,17.661,15.998,0.427,5.065,25.104,0.489
1061,1061,17.654,15.846,0.426,4.961,25.111,0.489
1062,1062,17.647,15.692,0.425,4.856,25.119,0.488
1063,1063,17.64,15.537,0.425,4.75,25.127,0.488
1064,1064,17.632,15.38,0.424,4.643,25.134,0.488
1065,1065,17.625,15.221,0.424,4.535,25.142,0.488
1066,1066,17.618,15.06,0.423,4.426,25.15,0.488
1067,1067,17.611,14.897,0.422,4.316,25.158,0.487
1068,1068,17.603,14.733,0.421,4.205,25.166,0.487
1069,1069,17.596,14.567,0.421,4.092,25.174,0.487
1070,1070,17.588,14.399,0.42,3.979,25.183,0.487
1071,1071,17.581,14.229,0.419,3.864,25.191,0.486
1072,1072,17.573,14.058,0.419,3.749,25.199,0.486
1073,1073,17.565,13.886,0.418,3.633,25.208,0.486
1074,1074,17.558,13.711,0.417,3.515,25.216,0.486
1075,1075,17.55,13.536,0.417,3.397,25.224,0.485
1076,1076,17.542,13.358,0.416,3.278,25.233,0.485
1077,1077,17.534,13.18,0.415,3.158,25.241,0.485
1078,1078,17.526,13.0,0.414,3.037,25.25,0.485
1079,1079,17.519,12.818,0.414,2.916,25.259,0.484
1080,1080,17.511,12.635,0.413,2.793,25.267,0.484
1081,1081,17.503,12.451,0.412,2.67,25.276,0.484
1082,1082,17.495,12.266,0.411,2.546,25.285,0.484
1083,1083,17.489,12.155,0.411,2.496,25.279,0.484
1084,1084,17.484,12.109,0.412,2.509,25.262,0.484
1085,1085,17.479,12.063,0.412,2.523,25.244,0.484
1086,1086,17.475,12.016,0.413,2.537,25.226,0.485
1087,1087,17.47,11.969,0.413,2.551,25.208,0.485
1088,1088,17.465,11.921,0.414,2.565,25.19,0.485
1089,1089,17.461,11.873,0.414,2.579,25.172,0.485
1090,1090,17.456,11.825,0.414,2.594,25.153,0.486
1091,1091,17.451,11.777,0.415,2.608,25.135,0.486
1092,1092,17.447,11.728,0.415,2.622,25.116,0.486
1093,1093,17.442,11.679,0.416,2.637,25.097,0.487
1094,1094,17.438,11.629,0.416,2.652,25.078,0.487
1095,1095,17.433,11.579,0.417,2.666,25.059,0.487
1096,1096,17.429,11.529,0.417,2.681,25.04,0.487
1097,1097,17.424,11.479,0.418,2.696,25.021,0.488
1098,1098,17.42,11.428,0.418,2.711,25.002,0.488
1099,1099,17.415,11.377,0.418,2.726,24.982,0.488
1100,1100,17.411,11.326,0.419,2.741,24.963,0.488
1101,1101,17.407,11.275,0.419,2.756,24.943,0.489
1102,1102,17.402,11.224,0.42,2.771,24.923,0.489
1103,1103,17.398,11.172,0.42,2.786,24.904,0.489
1104,1104,17.394,11.121,0.421,2.802,24.884,0.49
1105,1105,17.39,11.069,0.421,2.817,24.864,0.49
1106,1106,17.386,11.017,0.422,2.832,24.844,0.49
1107,1107,17.381,10.965,0.422,2.847,24.824,0.49
1108,1108,17.377,10.913,0.423,2.863,24.804,0.491
1109,1109,17.373,10.861,0.423,2.878,24.784,0.491
1110,1110,17.369,10.809,0.424,2.893,24.764,0.491
1111,1111,17.366,10.757,0.424,2.908,24.743,0.492
1112,1112,17.362,10.705,0.425,2.924,24.723,0.492
1113,1113,17.358,10.653,0.425,2.939,24.703,0.492
1114,1114,17.354,10.601,0.425,2.954,24.683,0.492
1115,1115,17.351,10.549,0.426,2.969,24.663,0.493
1116,1116,17.347,10.497,0.426,2.985,24.642,0.493
1117,1117,17.343,10.445,0.427,3.0,24.622,0.493
1118,1118,17.34,10.393,0.427,3.015,24.602,0.493
1119,1119,17.336,10.342,0.428,3.03,24.582,0.494
1120,1120,17.333,10.29,0.428,3.045,24.562,0.494
1121,1121,17.33,10.239,0.429,3.059,24.542,0.494
1122,1122,17.327,10.188,0.429,3.074,24.522,0.494
1123,1123,17.324,10.138,0.43,3.089,24.502,0.495
1124,1124,17.321,10.087,0.43,3.103,24.482,0.495
1125,1125,17.318,10.037,0.431,3.118,24.462,0.495
1126,1126,17.315,9.988,0.431,3.132,24.443,0.495
1127,1127,17.312,9.938,0.431,3.146,24.423,0.496
1128,1128,17.309,9.889,0.432,3.161,24.404,0.496
1129,1129,17.307,9.84,0.432,3.175,24.384,0.496
1130,1130,17.304,9.792,0.433,3.188,24.365,0.496
1131,1131,17.302,9.744,0.433,3.202,24.346,0.496
1132,1132,17.299,9.696,0.434,3.216,24.327,0.497
1133,1133,17.297,9.649,0.434,3.229,24.308,0.497
1134,1134,17.295,9.603,0.434,3.242,24.29,0.497
1135,1135,17.293,9.557,0.435,3.255,24.271,0.497
1136,1136,17.291,9.512,0.435,3.268,24.253,0.497
1137,1137,17.289,9.467,0.436,3.281,24.235,0.498
1138,1138,17.287,9.422,0.436,3.293,24.218,0.498
1139,1139,17.285,9.379,0.436,3.305,24.2,0.498
1140,1140,17.283,9.335,0.437,3.317,24.183,0.498
1141,1141,17.282,9.293,0.437,3.329,24.166,0.498
1142,1142,17.281,9.251,0.438,3.341,24.149,0.498
1143,1143,17.279,9.21,0.438,3.352,24.132,0.499
1144,1144,17.278,9.17,0.438,3.363,24.116,0.499
1145,1145,17.277,9.13,0.439,3.374,24.1,0.499
1146,1146,17.276,9.091,0.439,3.384,24.084,0.499
1147,1147,17.275,9.053,0.439,3.395,24.069,0.499
1148,1148,17.274,9.016,0.44,3.405,24.053,0.499
1149,1149,17.273,8.979,0.44,3.414,24.039,0.499
1150,1150,17.273,8.944,0.44,3.424,24.024,0.499
1151,1151,17.272,8.909,0.441,3.433,24.01,0.5
1152,1152,17.272,8.875,0.441,3.442,23.996,0.5
1153,1153,17.272,8.842,0.441,3.45,23.983,0.5
1154,1154,17.272,8.81,0.441,3.459,23.969,0.5
1155,1155,17.272,8.778,0.442,3.467,23.957,0.5
1156,1156,17.272,8.748,0.442,3.474,23.944,0.5
1157,1157,17.272,8.719,0.442,3.482,23.932,0.5
1158,1158,17.272,8.691,0.442,3.489,23.921,0.5
1159,1159,17.273,8.663,0.443,3.495,23.909,0.5
1160,1160,17.273,8.637,0.443,3.501,23.899,0.5
1161,1161,17.274,8.611,0.443,3.507,23.888,0.5
1162,1162,17.275,8.587,0.443,3.513,23.878,0.5
1163,1163,17.276,8.564,0.443,3.518,23.869,0.5
1164,1164,17.277,8.542,0.444,3.523,23.86,0.5
1165,1165,17.278,8.52,0.444,3.528,23.851,0.5
1166,1166,17.279,8.5,0.444,3.532,23.843,0.5
1167,1167,17.28,8.481,0.444,3.536,23.835,0.5
1168,1168,17.282,8.464,0.444,3.539,23.827,0.5
1169,1169,17.283,8.447,0.444,3.542,23.82,0.5
1170,1170,17.285,8.431,0.445,3.545,23.814,0.5
1171,1171,17.287,8.416,0.445,3.547,23.808,0.5
1172,1172,17.289,8.403,0.445,3.549,23.802,0.5
1173,1173,17.291,8.391,0.445,3.55,23.797,0.5
1174,1174,17.293,8.38,0.445,3.552,23.793,0.5
1175,1175,17.295,8.37,0.445,3.552,23.788,0.5
1176,1176,17.297,8.361,0.445,3.553,23.785,0.5
1177,1177,17.3,8.353,0.445,3.553,23.782,0.5
1178,1178,17.302,8.346,0.445,3.552,23.779,0.5
1179,1179,17.305,8.341,0.445,3.551,23.777,0.499
1180,1180,17.308,8.336,0.445,3.55,23.775,0.499
1181,1181,17.311,8.333,0.445,3.549,23.773,0.499
1182,1182,17.314,8.331,0.445,3.547,23.773,0.499
1183,1183,17.317,8.33,0.445,3.544,23.772,0.499
1184,1184,17.32,8.331,0.445,3.542,23.772,0.499
1185,1185,17.323,8.332,0.445,3.539,23.773,0.499
1186,1186,17.326,8.335,0.445,3.535,23.774,0.499
1187,1187,17.33,8.338,0.445,3.531,23.775,0.498
1188,1188,17.334,8.343,0.445,3.527,23.777,0.498
1189,1189,17.337,8.349,0.445,3.523,23.78,0.498
1190,1190,17.341,8.356,0.445,3.518,23.783,0.498
1191,1191,17.345,8.364,0.445,3.512,23.786,0.498
1192,1192,17.349,8.373,0.444,3.507,23.79,0.498
1193,1193,17.353,8.383,0.444,3.501,23.794,0.497
1194,1194,17.357,8.395,0.444,3.494,23.798,0.497
1195,1195,17.361,8.407,0.444,3.488,23.803,0.497
1196,1196,17.365,8.42,0.444,3.48,23.809,0.497
1197,1197,17.37,8.435,0.444,3.473,23.815,0.497
1198,1198,17.374,8.45,0.444,3.465,23.821,0.496
1199,1199,17.379,8.467,0.443,3.457,23.828,0.496
1200,1200,17.383,8.484,0.443,3.449,23.835,0.496
1201,1201,17.388,8.503,0.443,3.44,23.842,0.496
1202,1202,17.393,8.522,0.443,3.431,23.85,0.495
1203,1203,17.397,8.542,0.443,3.422,23.858,0.495
1204,1204,17.402,8.563,0.442,3.412,23.867,0.495
1205,1205,17.407,8.586,0.442,3.402,23.876,0.495
1206,1206,17.412,8.609,0.442,3.392,23.885,0.494
1207,1207,17.417,8.632,0.442,3.382,23.895,0.494
1208,1208,17.422,8.657,0.441,3.371,23.905,0.494
1209,1209,17.427,8.683,0.441,3.36,23.915,0.494
1210,1210,17.432,8.709,0.441,3.349,23.926,0.493
1211,1211,17.438,8.736,0.441,3.337,23.936,0.493
1212,1212,17.443,8.764,0.44,3.325,23.948,0.493
1213,1213,17.448,8.793,0.44,3.313,23.959,0.492
1214,1214,17.454,8.822,0.44,3.301,23.971,0.492
1215,1215,17.459,8.853,0.439,3.289,23.983,0.492
1216,1216,17.464,8.883,0.439,3.276,23.995,0.492
1217,1217,17.47,8.915,0.439,3.263,24.008,0.491
1218,1218,17.475,8.947,0.439,3.25,24.02,0.491
1219,1219,17.481,8.98,0.438,3.237,24.033,0.491
1220,1220,17.486,9.013,0.438,3.224,24.046,0.49
1221,1221,17.492,9.047,0.438,3.21,24.06,0.49
1222,1222,17.497,9.082,0.437,3.197,24.073,0.49
1223,1223,17.503,9.117,0.437,3.183,24.087,0.489
1224,1224,17.509,9.152,0.437,3.169,24.101,0.489
1225,1225,17.514,9.188,0.436,3.155,24.115,0.489
1226,1226,17.52,9.225,0.436,3.14,24.129,0.489
1227,1227,17.525,9.262,0.435,3.126,24.143,0.488
1228,1228,17.531,9.299,0.435,3.111,24.158,0.488
1229,1229,17.536,9.337,0.435,3.097,24.172,0.488
1230,1230,17.542,9.375,0.434,3.082,24.187,0.487
1231,1231,17.548,9.414,0.434,3.067,24.202,0.487
1232,1232,17.553,9.452,0.434,3.053,24.216,0.487
1233,1233,17.559,9.491,0.433,3.038,24.231,0.486
1234,1234,17.564,9.531,0.433,3.023,24.246,0.486
1235,1235,17.57,9.571,0.433,3.008,24.261,0.486
1236,1236,17.575,9.61,0.432,2.993,24.276,0.485
1237,1237,17.581,9.651,0.432,2.978,24.291,0.485
1238,1238,17.586,9.691,0.432,2.963,24.307,0.485
1239,1239,17.591,9.731,0.431,2.947,24.322,0.485
1240,1240,17.597,9.772,0.431,2.932,24.337,0.484
1241,1241,17.602,9.813,0.43,2.917,24.352,0.484
1242,1242,17.607,9.853,0.43,2.902,24.367,0.484
1243,1243,17.612,9.894,0.43,2.887,24.382,0.483
1244,1244,17.618,9.935,0.429,2.872,24.397,0.483
1245,1245,17.623,9.976,0.429,2.857,24.413,0.483
1246,1246,17.628,10.017,0.429,2.842,24.428,0.482
1247,1247,17.633,10.058,0.428,2.827,24.443,0.482
1248,1248,17.638,10.1,0.428,2.812,24.457,0.482
1249,1249,17.642,10.141,0.428,2.797,24.472,0.482
1250,1250,17.647,10.181,0.427,2.782,24.487,0.481
1251,1251,17.652,10.222,0.427,2.767,24.502,0.481
1252,1252,17.657,10.263,0.427,2.753,24.516,0.481
1253,1253,17.661,10.304,0.426,2.738,24.531,0.481
1254,1254,17.666,10.344,0.426,2.724,24.545,0.48
1255,1255,17.67,10.385,0.426,2.709,24.56,0.48
1256,1256,17.675,10.425,0.425,2.695,24.574,0.48
1257,1257,17.679,10.465,0.425,2.681,24.588,0.48
1258,1258,17.683,10.505,0.425,2.667,24.602,0.479
1259,1259,17.688,10.544,0.424,2.653,24.616,0.479
1260,1260,17.692,10.584,0.424,2.639,24.63,0.479
1261,1261,17.696,10.623,0.424,2.625,24.643,0.479
1262,1262,17.699,10.662,0.424,2.612,24.657,0.478
1263,1263,17.703,10.7,0.423,2.598,24.67,0.478
1264,1264,17.707,10.739,0.423,2.585,24.683,0.478
1265,1265,17.711,10.777,0.423,2.572,24.696,0.478
1266,1266,17.714,10.814,0.422,2.559,24.709,0.478
1267,1267,17.718,10.852,0.422,2.546,24.722,0.477
1268,1268,17.723,10.978,0.423,2.63,24.717,0.478
1269,1269,17.729,11.107,0.423,2.718,24.711,0.478
1270,1270,17.734,11.235,0.424,2.805,24.706,0.478
1271,1271,17.739,11.361,0.424,2.89,24.7,0.478
1272,1272,17.744,11.484,0.425,2.974,24.695,0.478
1273,1273,17.749,11.606,0.425,3.055,24.69,0.479
1274,1274,17.754,11.725,0.426,3.135,24.685,0.479
1275,1275,17.759,11.843,0.426,3.214,24.681,0.479
1276,1276,17.763,11.958,0.427,3.29,24.676,0.479
1277,1277,17.768,12.07,0.427,3.365,24.672,0.479
1278,1278,17.772,12.181,0.428,3.438,24.668,0.479
1279,1279,17.776,12.289,0.428,3.509,24.664,0.48
1280,1280,17.78,12.395,0.429,3.579,24.66,0.48
1281,1281,17.784,12.499,0.429,3.647,24.656,0.48
1282,1282,17.787,12.6,0.43,3.712,24.652,0.48
1283,1283,17.791,12.699,0.43,3.776,24.649,0.48
1284,1284,17.794,12.796,0.431,3.838,24.646,0.48
1285,1285,17.797,12.89,0.431,3.898,24.643,0.481
1286,1286,17.8,12.981,0.431,3.957,24.64,0.481
1287,1287,17.803,13.071,0.432,4.013,24.638,0.481
1288,1288,17.805,13.157,0.432,4.068,24.635,0.481
1289,1289,17.807,13.242,0.433,4.12,24.633,0.481
1290,1290,17.81,13.323,0.433,4.171,24.631,0.481
1291,1291,17.812,13.403,0.433,4.22,24.629,0.482
1292,1292,17.814,13.48,0.434,4.267,24.627,0.482
1293,1293,17.815,13.554,0.434,4.312,24.625,0.482
1294,1294,17.817,13.625,0.434,4.355,24.624,0.482
1295,1295,17.818,13.694,0.435,4.396,24.623,0.482
1296,1296,17.819,13.761,0.435,4.435,24.622,0.482
1297,1297,17.82,13.825,0.435,4.472,24.621,0.483
1298,1298,17.821,13.886,0.436,4.507,24.62,0.483
1299,1299,17.822,13.945,0.436,4.541,24.62,0.483
1300,1300,17.823,14.001,0.436,4.572,24.62,0.483
1301,1301,17.823,14.055,0.436,4.601,24.62,0.483
1302,1302,17.823,14.106,0.437,4.629,24.62,0.483
1303,1303,17.823,14.154,0.437,4.654,24.62,0.484
1304,1304,17.823,14.199,0.437,4.678,24.621,0.484
1305,1305,17.822,14.242,0.437,4.7,24.621,0.484
1306,1306,17.822,14.283,0.438,4.719,24.622,0.484
1307,1307,17.821,14.32,0.438,4.737,24.623,0.484
1308,1308,17.82,14.355,0.438,4.753,24.625,0.484
1309,1309,17.819,14.388,0.438,4.767,24.626,0.484
1310,1310,17.818,14.417,0.438,4.779,24.628,0.485
1311,1311,17.817,14.444,0.439,4.789,24.63,0.485
1312,1312,17.815,14.469,0.439,4.798,24.632,0.485
1313,1313,17.814,14.49,0.439,4.804,24.634,0.485
1314,1314,17.812,14.509,0.439,4.808,24.637,0.485
1315,1315,17.81,14.526,0.439,4.811,24.639,0.485
1316,1316,17.807,14.539,0.439,4.812,24.642,0.485
1317,1317,17.805,14.551,0.439,4.81,24.645,0.486
1318,1318,17.803,14.559,0.439,4.807,24.649,0.486
1319,1319,17.8,14.565,0.44,4.802,24.652,0.486
1320,1320,17.797,14.568,0.44,4.796,24.656,0.486
1321,1321,17.794,14.568,0.44,4.787,24.66,0.486
1322,1322,17.791,14.566,0.44,4.776,24.664,0.486
1323,1323,17.788,14.561,0.44,4.764,24.668,0.486
1324,1324,17.784,14.553,0.44,4.75,24.672,0.486
1325,1325,17.781,14.543,0.44,4.734,24.677,0.487
1326,1326,17.777,14.53,0.44,4.716,24.682,0.487
1327,1327,17.773,14.515,0.44,4.697,24.687,0.487
1328,1328,17.769,14.497,0.44,4.676,24.692,0.487
1329,1329,17.765,14.476,0.44,4.653,24.697,0.487
1330,1330,17.76,14.453,0.44,4.628,24.703,0.487
1331,1331,17.756,14.427,0.44,4.601,24.709,0.487
1332,1332,17.751,14.399,0.44,4.573,24.715,0.487
1333,1333,17.747,14.368,0.44,4.543,24.721,0.488
1334,1334,17.742,14.335,0.44,4.511,24.727,0.488
1335,1335,17.737,14.299,0.44,4.478,24.734,0.488
1336,1336,17.732,14.26,0.44,4.443,24.74,0.488
1337,1337,17.726,14.219,0.44,4.406,24.747,0.488
1338,1338,17.721,14.175,0.439,4.368,24.754,0.488
1339,1339,17.715,14.129,0.439,4.328,24.762,0.488
1340,1340,17.71,14.081,0.439,4.286,24.769,0.488
1341,1341,17.704,14.03,0.439,4.243,24.777,0.488
1342,1342,17.698,13.976,0.439,4.198,24.785,0.488
1343,1343,17.692,13.92,0.439,4.152,24.793,0.488
1344,1344,17.686,13.862,0.439,4.104,24.801,0.489
1345,1345,17.68,13.801,0.438,4.054,24.809,0.489
1346,1346,17.674,13.738,0.438,4.003,24.818,0.489
1347,1347,17.667,13.673,0.438,3.951,24.826,0.489
1348,1348,17.661,13.605,0.438,3.897,24.835,0.489
1349,1349,17.654,13.535,0.438,3.842,24.844,0.489
1350,1350,17.647,13.463,0.438,3.785,24.853,0.489
1351,1351,17.64,13.389,0.437,3.727,24.862,0.489
1352,1352,17.633,13.312,0.437,3.667,24.872,0.489
1353,1353,17.626,13.233,0.437,3.606,24.881,0.489
1354,1354,17.619,13.152,0.437,3.544,24.891,0.489
1355,1355,17.612,13.069,0.436,3.48,24.901,0.489
1356,1356,17.605,12.984,0.436,3.415,24.911,0.489
1357,1357,17.598,12.897,0.436,3.349,24.921,0.49
1358,1358,17.59,12.807,0.436,3.282,24.931,0.49
1359,1359,17.583,12.716,0.435,3.213,24.942,0.49
1360,1360,17.575,12.623,0.435,3.144,24.952,0.49
1361,1361,17.568,12.528,0.435,3.073,24.963,0.49
1362,1362,17.56,12.431,0.435,3.001,24.974,0.49
1363,1363,17.552,12.332,0.434,2.928,24.985,0.49
1364,1364,17.544,12.231,0.434,2.854,24.996,0.49
1365,1365,17.537,12.129,0.434,2.778,25.007,0.49
1366,1366,17.529,12.024,0.433,2.702,25.018,0.49
1367,1367,17.521,11.919,0.433,2.625,25.029,0.49
1368,1368,17.513,11.811,0.433,2.547,25.041,0.49
1369,1369,17.505,11.702,0.432,2.468,25.052,0.49
1370,1370,17.497,11.615,0.432,2.413,25.06,0.49
1371,1371,17.491,11.59,0.433,2.423,25.055,0.491
1372,1372,17.485,11.564,0.433,2.434,25.05,0.491
1373,1373,17.479,11.538,0.434,2.444,25.045,0.491
1374,1374,17.473,11.511,0.434,2.455,25.04,0.492
1375,1375,17.467,11.484,0.435,2.465,25.035,0.492
1376,1376,17.461,11.456,0.435,2.476,25.029,0.493
1377,1377,17.455,11.428,0.436,2.487,25.024,0.493
1378,1378,17.449,11.399,0.436,2.498,25.018,0.493
1379,1379,17.443,11.371,0.436,2.51,25.013,0.494
1380,1380,17.438,11.341,0.437,2.521,25.007,0.494
1381,1381,17.432,11.312,0.437,2.532,25.002,0.495
1382,1382,17.426,11.282,0.438,2.544,24.996,0.495
1383,1383,17.42,11.251,0.438,2.556,24.99,0.495
1384,1384,17.414,11.221,0.439,2.568,24.984,0.496
1385,1385,17.408,11.19,0.439,2.579,24.979,0.496
1386,1386,17.402,11.158,0.44,2.591,24.973,0.497
1387,1387,17.397,11.127,0.44,2.604,24.967,0.497
1388,1388,17.391,11.095,0.441,2.616,24.961,0.497
1389,1389,17.385,11.063,0.441,2.628,24.955,0.498
1390,1390,17.379,11.031,0.442,2.64,24.949,0.498
1391,1391,17.374,10.998,0.442,2.653,24.943,0.498
1392,1392,17.368,10.966,0.443,2.665,24.937,0.499
1393,1393,17.363,10.933,0.443,2.677,24.931,0.499
1394,1394,17.357,10.9,0.444,2.69,24.925,0.5
1395,1395,17.352,10.867,0.444,2.702,24.919,0.5
1396,1396,17.347,10.834,0.445,2.715,24.913,0.5
1397,1397,17.341,10.801,0.445,2.727,24.908,0.501
1398,1398,17.336,10.768,0.446,2.74,24.902,0.501
1399,1399,17.331,10.735,0.446,2.753,24.896,0.502
1400,1400,17.326,10.702,0.447,2.765,24.891,0.502
1401,1401,17.321,10.669,0.447,2.778,24.885,0.502
1402,1402,17.316,10.636,0.448,2.79,24.88,0.503
1403,1403,17.311,10.603,0.448,2.803,24.874,0.503
1404,1404,17.306,10.57,0.449,2.815,24.869,0.504
1405,1405,17.302,10.537,0.449,2.827,24.864,0.504
1406,1406,17.297,10.505,0.45,2.84,24.859,0.504
1407,1407,17.293,10.472,0.45,2.852,24.854,0.505
1408,1408,17.288,10.44,0.45,2.864,24.849,0.505
1409,1409,17.284,10.408,0.451,2.876,24.845,0.505
1410,1410,17.28,10.377,0.451,2.888,24.841,0.506
1411,1411,17.275,10.345,0.452,2.9,24.836,0.506
1412,1412,17.271,10.314,0.452,2.912,24.832,0.506
1413,1413,17.267,10.283,0.453,2.923,24.829,0.507
1414,1414,17.264,10.253,0.453,2.935,24.825,0.507
1415,1415,17.26,10.223,0.454,2.946,24.822,0.507
1416,1416,17.256,10.194,0.454,2.958,24.819,0.508
1417,1417,17.253,10.165,0.454,2.969,24.816,0.508
1418,1418,17.25,10.136,0.455,2.98,24.814,0.508
1419,1419,17.246,10.108,0.455,2.99,24.811,0.509
1420,1420,17.243,10.08,0.456,3.001,24.809,0.509
1421,1421,17.24,10.054,0.456,3.011,24.808,0.509
1422,1422,17.237,10.027,0.456,3.021,24.807,0.51
1423,1423,17.235,10.001,0.457,3.031,24.806,0.51
1424,1424,17.232,9.976,0.457,3.041,24.805,0.51
1425,1425,17.229,9.952,0.457,3.05,24.805,0.51
1426,1426,17.227,9.928,0.458,3.06,24.805,0.511
1427,1427,17.225,9.905,0.458,3.069,24.805,0.511
1428,1428,17.223,9.883,0.458,3.077,24.806,0.511
1429,1429,17.221,9.862,0.459,3.086,24.807,0.511
1430,1430,17.219,9.841,0.459,3.094,24.809,0.512
1431,1431,17.218,9.821,0.459,3.102,24.811,0.512
1432,1432,17.216,9.802,0.459,3.109,24.814,0.512
1433,1433,17.215,9.784,0.46,3.116,24.817,0.512
1434,1434,17.214,9.767,0.46,3.123,24.82,0.512
1435,1435,17.212,9.751,0.46,3.13,24.824,0.513
1436,1436,17.212,9.736,0.46,3.136,24.829,0.513
1437,1437,17.211,9.722,0.46,3.142,24.833,0.513
1438,1438,17.21,9.708,0.461,3.148,24.839,0.513
1439,1439,17.21,9.696,0.461,3.153,24.845,0.513
1440,1440,17.21,9.685,0.461,3.158,24.851,0.513
1441,1441,17.21,9.675,0.461,3.162,24.858,0.514
1442,1442,17.21,9.666,0.461,3.167,24.866,0.514
1443,1443,17.21,9.658,0.461,3.17,24.874,0.514
1444,1444,17.21,9.651,0.461,3.174,24.883,0.514
1445,1445,17.211,9.646,0.461,3.177,24.892,0.514
1446,1446,17.212,9.641,0.462,3.179,24.902,0.514
1447,1447,17.213,9.638,0.462,3.181,24.912,0.514
1448,1448,17.214,9.636,0.462,3.183,24.923,0.514
